model,learning_rate,optimizer,dropout,batch_size,best_epoch,training_time,num_parameters,train_accuracy,dev_accuracy,train_loss,dev_loss,accuracy_diff_pct,loss_diff_pct,timestamp
CNN_32_Dropout_Gridsearch_Tanh,0.01,Adam,0.1,64,1,288.51294136047363,131456,0.08071988001999666,0.0863,3.887051327644698,3.8790299628080844,-6.912943848059461,-0.206361176132811,2026-01-09 07:35:12
CNN_32_64_128_Dropout_Gridsearch_Tanh,0.005,Adam,0.2,64,9,990.8387007713318,617024,0.07458756873854358,0.078,3.9373221379601144,3.936377075435256,-4.57506702412868,-0.024002672165097536,2026-01-09 13:14:53
CNN_64_128_256_Dropout_Gridsearch_Tanh,0.005,Adam,0.2,64,4,662.5137939453125,1418304,0.058301394212075766,0.060366666666666666,4.5171841188465365,4.513192290182053,-3.5424066310975575,-0.08836984633478014,2026-01-09 15:11:36
CNN_64_128_Dropout_Gridsearch_Tanh,0.01,Adam,0.2,64,1,375.02702951431274,598848,0.05677387102149642,0.057833333333333334,4.810866879603212,4.817044315053455,-1.8661089912924342,0.12840586956238068,2026-01-09 11:43:49
CNN_64_Dropout_Gridsearch_Tanh,0.01,Adam,0.1,64,2,339.3881034851074,262848,0.08864078209187358,0.08873333333333333,4.036138829327206,4.031041032469857,-0.10441158039854001,-0.12630380353390588,2026-01-09 08:36:07
CNN_64_128_Dropout_Gridsearch_Tanh,0.001,Adam,0.2,64,8,749.1234414577484,598848,0.28617452646781094,0.2862,2.257150001895415,2.2774364112028436,-0.008901397515524132,0.8987621243777838,2026-01-09 11:26:14
CNN_32_64_Dropout_Gridsearch_Tanh,0.01,Adam,0.2,64,9,799.9592506885529,281024,0.0802366272287952,0.08023333333333334,4.039558529980955,4.041169359231555,0.004105226722038445,0.03987636863396731,2026-01-09 10:24:26
CNN_64_128_256_Dropout_Gridsearch_Tanh,0.001,Adam,0.2,64,10,1055.470500946045,1418304,0.27469866133422205,0.27453333333333335,2.367255701867872,2.371473437179126,0.060185222631116454,0.17816982372991058,2026-01-09 15:00:10
CNN_64_Dropout_Gridsearch_Tanh,0.005,Adam,0.2,64,1,290.30984449386597,262848,0.08989057379325668,0.08963333333333333,3.7749450426274587,3.772651362266622,0.28617067292839177,-0.06076062922601967,2026-01-09 08:55:14
CNN_64_128_Dropout_Gridsearch_Tanh,0.005,Adam,0.1,64,8,748.420387506485,598848,0.17688163083930455,0.17613333333333334,3.1081987484214233,3.1097628938109634,0.42304986810701684,0.05032321019801177,2026-01-09 10:55:18
CNN_64_Dropout_Gridsearch_Tanh,0.005,Adam,0.1,64,8,633.6210136413574,262848,0.23282786202299616,0.23183333333333334,2.5861583029804303,2.603055287525852,0.42715192289340054,0.6533623454507269,2026-01-09 08:30:13
CNN_64_128_256_Dropout_Gridsearch_Tanh,0.001,Adam,0.1,64,12,1186.3768661022186,1418304,0.29077375992890075,0.28846666666666665,2.2710789406464866,2.290458656323236,0.7934324138458126,0.8533263784847827,2026-01-09 13:57:26
CNN_64_128_Dropout_Gridsearch_Relu,0.01,Adam,0.1,64,4,547.0215258598328,598848,0.3019163472754541,0.29943333333333333,2.068907771083413,2.0754033901544013,0.8224178533318586,0.31396368469276265,2026-01-09 03:07:46
CNN_32_64_Dropout_Gridsearch_Relu,0.01,Adam,0.2,128,16,572.6294581890106,281024,0.3277564850302727,0.32476666666666665,1.879601226517217,1.893711450252127,0.9122072331627297,0.7507030499791361,2026-01-09 17:46:02
CNN_64_Dropout_Gridsearch_Tanh,0.01,Adam,0.2,64,12,740.5812757015228,262848,0.08055879575626285,0.07976666666666667,4.051554655037102,4.03971869096573,0.9832931117699808,-0.2921338863504524,2026-01-09 09:07:48
CNN_32_Dropout_Gridsearch_Tanh,0.01,Adam,0.2,64,7,537.4656064510345,131456,0.0885574626451147,0.08763333333333333,3.9261762007588894,3.92539136801193,1.0435363482406121,-0.019989748468435653,2026-01-09 08:04:15
CNN_32_64_Dropout_Gridsearch_Tanh,0.005,Adam,0.1,64,7,695.1862366199493,281024,0.22461256457257123,0.22226666666666667,2.6540876808769966,2.664011931368537,1.0444197146177951,0.37392323407570793,2026-01-09 09:34:15
CNN_64_128_Dropout_Gridsearch_Tanh,0.005,Adam,0.2,64,6,642.2953290939331,598848,0.08118091429206244,0.08026666666666667,3.9964948340408157,4.001285443682152,1.1261854259322646,0.11987028234169374,2026-01-09 11:37:15
CNN_64_128_256_Dropout_Gridsearch_Relu,0.01,Adam,0.2,64,1,472.96688055992126,1418304,0.021013164472587904,0.020733333333333333,4.093473552089546,4.0925091995613405,1.3316944224160823,-0.02355829385322936,2026-01-09 07:07:33
CNN_64_128_256_Dropout_Gridsearch_Relu,0.01,Adam,0.1,64,1,473.7451865673065,1418304,0.021013164472587904,0.020733333333333333,4.093470781585986,4.092506480877842,1.3316944224160823,-0.023557043877829722,2026-01-09 06:20:13
CNN_32_64_Dropout_Gridsearch_Relu,0.01,Adam,0.1,64,1,420.10302782058716,281024,0.021013164472587904,0.020733333333333333,4.093610513350144,4.092646259234658,1.3316944224160823,-0.02355510159896966,2026-01-09 01:34:59
CNN_32_64_128_Dropout_Gridsearch_Relu,0.01,Adam,0.1,64,1,474.2600073814392,617024,0.021013164472587904,0.020733333333333333,4.093456651068564,4.0924925499125075,1.3316944224160823,-0.023552250292059065,2026-01-09 04:35:18
CNN_32_64_Dropout_Gridsearch_Relu,0.01,Adam,0.1,128,1,200.2770767211914,281024,0.021013164472587904,0.020733333333333333,4.093987333071342,4.093378519504628,1.3316944224160823,-0.014870919648337665,2026-01-09 17:16:44
CNN_64_128_Dropout_Gridsearch_Relu,0.01,Adam,0.2,128,1,201.94808745384216,598848,0.021013164472587904,0.020733333333333333,4.093969648411364,4.093369782224615,1.3316944224160823,-0.014652433658906228,2026-01-09 18:32:32
CNN_32_Dropout_Gridsearch_Tanh,0.005,Adam,0.1,128,11,378.14062786102295,131456,0.2719435649613953,0.26813333333333333,2.3961940876710646,2.4179194054705033,1.4011111565014907,0.9066593524798432,2026-01-09 20:40:30
CNN_32_Dropout_Gridsearch_Tanh,0.005,Adam,0.2,64,8,579.6482601165771,131456,0.10041104260401044,0.09896666666666666,3.773193929274227,3.7797175201017463,1.4384632405819626,0.1728930701628215,2026-01-09 07:55:03
