Historique d'entraînement - CNN_32_64_128_256_Dropout_Gridsearch_Relu_Optimisation_DataAugmentation_200epochs_Generation_Data
============================================================
Date: 2026-01-10 05:53:01
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 29
Époques complétées: 50
Meilleure accuracy dev: 0.5524 (55.24%)
Meilleure loss dev: 1.2012
Temps total d'entraînement: 10932.81 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.4617       0.4746       1.8030       1.4701      
2        0.4948       0.5043       1.5628       1.3787      
3        0.5130       0.5194       1.4817       1.3291      
4        0.5204       0.5238       1.4511       1.3040      
5        0.5276       0.5287       1.4086       1.2828      
6        0.5321       0.5330       1.3851       1.2726      
7        0.5375       0.5364       1.3777       1.2595      
8        0.5409       0.5382       1.3672       1.2512      
9        0.5456       0.5416       1.3472       1.2416      
10       0.5467       0.5414       1.3670       1.2359      
11       0.5494       0.5436       1.3776       1.2319      
12       0.5529       0.5461       1.3963       1.2251      
13       0.5536       0.5455       1.3407       1.2222      
14       0.5554       0.5468       1.3422       1.2180      
15       0.5576       0.5483       1.3444       1.2147      
16       0.5575       0.5475       1.3379       1.2139      
17       0.5605       0.5501       1.3167       1.2104      
18       0.5563       0.5463       1.3609       1.2195      
19       0.5591       0.5485       1.3177       1.2130      
20       0.5575       0.5474       1.3669       1.2181      
21       0.5612       0.5496       1.3099       1.2095      
22       0.5612       0.5492       1.3283       1.2099      
23       0.5619       0.5494       1.3285       1.2100      
24       0.5630       0.5505       1.3240       1.2101      
25       0.5629       0.5496       1.3034       1.2079      
26       0.5648       0.5505       1.2997       1.2059      
27       0.5648       0.5501       1.2998       1.2044      
28       0.5645       0.5502       1.3248       1.2072      
29       0.5671       0.5524       1.3016       1.2012      
30       0.5655       0.5507       1.3076       1.2056      
31       0.5665       0.5516       1.3085       1.2042      
32       0.5658       0.5511       1.3292       1.2050      
33       0.5654       0.5508       1.3281       1.2069      
34       0.5658       0.5515       1.3154       1.2067      
35       0.5625       0.5485       1.3906       1.2133      
36       0.5666       0.5513       1.3170       1.2061      
37       0.5656       0.5504       1.3277       1.2074      
38       0.5656       0.5507       1.3409       1.2108      
39       0.5665       0.5515       1.3377       1.2095      
40       0.5656       0.5503       1.3532       1.2113      
41       0.5671       0.5512       1.3358       1.2086      
42       0.5666       0.5512       1.3391       1.2093      
43       0.5666       0.5514       1.3309       1.2065      
44       0.5665       0.5508       1.3538       1.2070      
45       0.5672       0.5505       1.3554       1.2067      
46       0.5646       0.5494       1.3617       1.2154      
47       0.5669       0.5510       1.3437       1.2075      
48       0.5660       0.5501       1.3578       1.2083      
49       0.5675       0.5508       1.3454       1.2081      
50       0.5666       0.5504       1.3428       1.2088      
