Historique d'entraînement - CNN_32_64_128_256_Dropout_Gridsearch_Relu_Optimisation_DataAugmentation_200epochs_Generation_Data_Scheduler
============================================================
Date: 2026-01-12 01:53:28
Optimizer: Adam
Learning Rate: 2.44140625e-07
Meilleure époque: 61
Époques complétées: 82
Meilleure accuracy dev: 0.5690 (56.90%)
Meilleure loss dev: 1.1538
Temps total d'entraînement: 15951.31 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.4605       0.4734       1.7917       1.4695      
2        0.4930       0.5016       1.5709       1.3761      
3        0.5126       0.5177       1.4765       1.3272      
4        0.5207       0.5235       1.4617       1.3027      
5        0.5298       0.5300       1.4068       1.2784      
6        0.5364       0.5348       1.3686       1.2612      
7        0.5404       0.5366       1.3693       1.2496      
8        0.5463       0.5413       1.3330       1.2385      
9        0.5491       0.5427       1.3241       1.2290      
10       0.5530       0.5447       1.3048       1.2208      
11       0.5555       0.5465       1.2950       1.2144      
12       0.5574       0.5473       1.2892       1.2129      
13       0.5599       0.5488       1.2841       1.2077      
14       0.5620       0.5496       1.2747       1.2045      
15       0.5635       0.5509       1.2709       1.2019      
16       0.5652       0.5515       1.2613       1.1997      
17       0.5669       0.5523       1.2534       1.1979      
18       0.5688       0.5537       1.2492       1.1935      
19       0.5696       0.5529       1.2581       1.1914      
20       0.5711       0.5538       1.2448       1.1910      
21       0.5719       0.5544       1.2408       1.1879      
22       0.5733       0.5552       1.2373       1.1866      
23       0.5732       0.5548       1.2378       1.1866      
24       0.5748       0.5563       1.2427       1.1839      
25       0.5753       0.5565       1.2405       1.1860      
26       0.5748       0.5556       1.2629       1.1837      
27       0.5740       0.5551       1.2742       1.1865      
28       0.5728       0.5545       1.2724       1.1901      
29       0.5796       0.5592       1.2563       1.1727      
30       0.5804       0.5595       1.2605       1.1724      
31       0.5815       0.5601       1.2377       1.1711      
32       0.5824       0.5602       1.2578       1.1710      
33       0.5823       0.5598       1.2443       1.1725      
34       0.5831       0.5601       1.2298       1.1710      
35       0.5869       0.5623       1.2358       1.1631      
36       0.5879       0.5624       1.2249       1.1622      
37       0.5883       0.5627       1.2183       1.1617      
38       0.5889       0.5632       1.2159       1.1606      
39       0.5892       0.5630       1.2123       1.1608      
40       0.5895       0.5632       1.2152       1.1599      
41       0.5898       0.5631       1.2204       1.1608      
42       0.5920       0.5642       1.2316       1.1571      
43       0.5920       0.5642       1.2376       1.1571      
44       0.5921       0.5643       1.2172       1.1564      
45       0.5927       0.5641       1.2192       1.1567      
46       0.5931       0.5645       1.2153       1.1567      
47       0.5930       0.5646       1.2197       1.1560      
48       0.5932       0.5645       1.2181       1.1562      
49       0.5936       0.5644       1.2155       1.1566      
50       0.5936       0.5647       1.2140       1.1564      
51       0.5938       0.5642       1.2126       1.1565      
52       0.5940       0.5646       1.2118       1.1564      
53       0.5940       0.5645       1.2103       1.1563      
54       0.5990       0.5683       1.2455       1.1544      
55       0.5985       0.5677       1.2377       1.1545      
56       0.5991       0.5684       1.2343       1.1542      
57       0.5982       0.5674       1.2319       1.1548      
58       0.5991       0.5684       1.2283       1.1543      
59       0.5989       0.5679       1.2295       1.1543      
60       0.6006       0.5690       1.2843       1.1534      
61       0.6006       0.5690       1.2796       1.1538      
62       0.6005       0.5689       1.2765       1.1540      
63       0.6005       0.5689       1.2748       1.1543      
64       0.6009       0.5689       1.3250       1.1543      
65       0.6008       0.5690       1.3158       1.1546      
66       0.6007       0.5689       1.3127       1.1550      
67       0.6007       0.5688       1.3472       1.1564      
68       0.6006       0.5686       1.3371       1.1568      
69       0.6006       0.5686       1.3348       1.1571      
70       0.6004       0.5684       1.3535       1.1598      
71       0.6004       0.5683       1.3454       1.1605      
72       0.6003       0.5682       1.3433       1.1608      
73       0.6003       0.5681       1.3503       1.1634      
74       0.6002       0.5681       1.3455       1.1645      
75       0.6001       0.5680       1.3438       1.1650      
76       0.6001       0.5679       1.3459       1.1664      
77       0.6001       0.5679       1.3448       1.1674      
78       0.6001       0.5679       1.3432       1.1679      
79       0.6001       0.5678       1.3444       1.1686      
80       0.6000       0.5678       1.3435       1.1692      
81       0.6000       0.5678       1.3434       1.1696      
82       0.6000       0.5678       1.3433       1.1700      
