Historique d'entraînement - CNN_32_64_128_256_Dropout_Gridsearch_Relu_Optimisation_DataAugmentation_200epochs_Generation_Data_Scheduler
============================================================
Date: 2026-01-12 22:45:03
Optimizer: Adam
Learning Rate: 0.0005
Meilleure époque: 29
Époques complétées: 30
Meilleure accuracy dev: 0.5673 (56.73%)
Meilleure loss dev: 1.1587
Temps total d'entraînement: 6945.03 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.4881       0.4956       1.7325       1.3937      
2        0.5140       0.5182       1.5255       1.3221      
3        0.5287       0.5304       1.4543       1.2791      
4        0.5392       0.5394       1.4191       1.2494      
5        0.5467       0.5445       1.4065       1.2321      
6        0.5521       0.5485       1.3570       1.2194      
7        0.5574       0.5521       1.3381       1.2075      
8        0.5599       0.5536       1.3294       1.2027      
9        0.5630       0.5556       1.3167       1.1952      
10       0.5657       0.5571       1.3164       1.1901      
11       0.5685       0.5595       1.2940       1.1839      
12       0.5703       0.5597       1.2937       1.1820      
13       0.5724       0.5616       1.2892       1.1778      
14       0.5737       0.5621       1.2825       1.1752      
15       0.5752       0.5620       1.2754       1.1734      
16       0.5756       0.5629       1.2641       1.1724      
17       0.5770       0.5631       1.2767       1.1703      
18       0.5781       0.5635       1.2591       1.1694      
19       0.5787       0.5641       1.2572       1.1683      
20       0.5793       0.5645       1.2607       1.1675      
21       0.5796       0.5643       1.2617       1.1661      
22       0.5798       0.5642       1.2567       1.1670      
23       0.5800       0.5650       1.2665       1.1651      
24       0.5792       0.5640       1.3089       1.1677      
25       0.5785       0.5631       1.2937       1.1716      
26       0.5792       0.5643       1.2949       1.1678      
27       0.5822       0.5658       1.3059       1.1637      
28       0.5842       0.5666       1.2601       1.1608      
29       0.5850       0.5673       1.2796       1.1587      
30       0.5853       0.5669       1.2754       1.1595      
