Historique d'entraînement - CNN_32_64_128_256_Relu_Optimisation_DataAugmentation_50epochs_Generation_Data_Batch_Norm
============================================================
Date: 2026-01-10 12:34:52
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 23
Époques complétées: 34
Meilleure accuracy dev: 0.5304 (53.04%)
Meilleure loss dev: 1.2936
Temps total d'entraînement: 5526.13 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.4670       0.4856       1.5485       1.4282      
2        0.4782       0.4940       1.5210       1.3991      
3        0.4883       0.5025       1.4587       1.3741      
4        0.4949       0.5080       1.4167       1.3565      
5        0.5009       0.5122       1.3819       1.3435      
6        0.5054       0.5149       1.3602       1.3320      
7        0.5101       0.5186       1.3406       1.3243      
8        0.5122       0.5197       1.3258       1.3187      
9        0.5151       0.5217       1.3130       1.3131      
10       0.5176       0.5243       1.3025       1.3088      
11       0.5196       0.5246       1.2947       1.3059      
12       0.5214       0.5252       1.2841       1.3028      
13       0.5227       0.5254       1.2802       1.3017      
14       0.5249       0.5268       1.2704       1.2992      
15       0.5267       0.5277       1.2651       1.2974      
16       0.5283       0.5286       1.2613       1.2972      
17       0.5295       0.5290       1.2547       1.2963      
18       0.5303       0.5289       1.2505       1.2959      
19       0.5312       0.5292       1.2442       1.2951      
20       0.5319       0.5296       1.2399       1.2949      
21       0.5330       0.5299       1.2352       1.2945      
22       0.5339       0.5302       1.2317       1.2942      
23       0.5346       0.5304       1.2320       1.2936      
24       0.5344       0.5292       1.2291       1.2942      
25       0.5356       0.5296       1.2246       1.2946      
26       0.5358       0.5291       1.2219       1.2941      
27       0.5363       0.5291       1.2216       1.2943      
28       0.5375       0.5296       1.2174       1.2945      
29       0.5377       0.5291       1.2143       1.2944      
30       0.5377       0.5285       1.2123       1.2955      
31       0.5378       0.5282       1.2085       1.2958      
32       0.5391       0.5292       1.2057       1.2961      
33       0.5397       0.5290       1.2033       1.2965      
34       0.5396       0.5281       1.2013       1.2968      
