Historique d'entraînement - CNN_32_64_128_Dropout_Gridsearch_Relu_Optimisation_DataAugmentation_20epochs
============================================================
Date: 2026-01-09 22:55:02
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 20
Époques complétées: 20
Meilleure accuracy dev: 0.5165 (51.65%)
Meilleure loss dev: 1.3018
Temps total d'entraînement: 2199.12 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.4405       0.4359       1.8734       1.5728      
2        0.4753       0.4654       1.5760       1.4718      
3        0.4928       0.4788       1.5017       1.4247      
4        0.5058       0.4884       1.4564       1.3920      
5        0.5127       0.4923       1.4242       1.3741      
6        0.5216       0.4989       1.4024       1.3568      
7        0.5268       0.5010       1.3840       1.3479      
8        0.5314       0.5046       1.3705       1.3383      
9        0.5358       0.5069       1.3583       1.3316      
10       0.5389       0.5083       1.3485       1.3251      
11       0.5413       0.5099       1.3395       1.3231      
12       0.5433       0.5117       1.3323       1.3176      
13       0.5456       0.5129       1.3260       1.3133      
14       0.5477       0.5132       1.3207       1.3108      
15       0.5497       0.5143       1.3146       1.3082      
16       0.5510       0.5154       1.3104       1.3056      
17       0.5526       0.5163       1.3069       1.3053      
18       0.5528       0.5163       1.3024       1.3051      
19       0.5531       0.5150       1.2988       1.3054      
20       0.5553       0.5165       1.2950       1.3018      
