Historique d'entraînement - CNN_32_64_128_Dropout_Gridsearch_Relu_Optimisation_DataAugmentation_20epochs_Generation_Data
============================================================
Date: 2026-01-10 02:22:35
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 19
Époques complétées: 20
Meilleure accuracy dev: 0.5207 (52.07%)
Meilleure loss dev: 1.3171
Temps total d'entraînement: 3294.52 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.4315       0.4460       1.9296       1.5709      
2        0.4560       0.4672       1.6829       1.5022      
3        0.4694       0.4777       1.6452       1.4621      
4        0.4784       0.4853       1.6016       1.4340      
5        0.4838       0.4893       1.5791       1.4136      
6        0.4931       0.4980       1.5369       1.3936      
7        0.4963       0.5009       1.5369       1.3842      
8        0.4998       0.5037       1.5160       1.3726      
9        0.5018       0.5056       1.5303       1.3680      
10       0.5058       0.5085       1.4827       1.3560      
11       0.5072       0.5096       1.4944       1.3543      
12       0.5101       0.5121       1.4689       1.3431      
13       0.5113       0.5130       1.4736       1.3406      
14       0.5133       0.5147       1.4606       1.3330      
15       0.5136       0.5149       1.4644       1.3341      
16       0.5153       0.5166       1.4485       1.3270      
17       0.5161       0.5162       1.4385       1.3261      
18       0.5193       0.5198       1.4312       1.3207      
19       0.5203       0.5207       1.4447       1.3171      
20       0.5199       0.5200       1.4367       1.3167      
