Historique d'entraînement - CNN_32_Dropout_Gridsearch_Tanh
============================================================
Date: 2026-01-09 20:33:54
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 18
Époques complétées: 20
Meilleure accuracy dev: 0.3502 (35.02%)
Meilleure loss dev: 1.9726
Temps total d'entraînement: 437.94 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1546       0.1522       3.4343       3.0943      
2        0.2617       0.2550       2.8318       2.5200      
3        0.3184       0.3042       2.4718       2.2493      
4        0.3393       0.3233       2.3348       2.1386      
5        0.3508       0.3346       2.2708       2.0757      
6        0.3557       0.3388       2.2350       2.0483      
7        0.3585       0.3394       2.2139       2.0313      
8        0.3608       0.3435       2.2055       2.0157      
9        0.3641       0.3446       2.1932       2.0106      
10       0.3648       0.3451       2.1882       1.9997      
11       0.3654       0.3469       2.1796       1.9967      
12       0.3665       0.3471       2.1746       1.9896      
13       0.3686       0.3465       2.1684       1.9850      
14       0.3686       0.3442       2.1641       1.9863      
15       0.3706       0.3486       2.1563       1.9811      
16       0.3700       0.3471       2.1558       1.9865      
17       0.3725       0.3494       2.1525       1.9748      
18       0.3734       0.3502       2.1495       1.9726      
19       0.3734       0.3499       2.1462       1.9750      
20       0.3729       0.3472       2.1440       1.9719      
