Historique d'entraînement - CNN_64_128_256_512_1024_Dropout_Gridsearch_Relu_Optimisation_DataAugmentation_200epochs_Generation_Data
============================================================
Date: 2026-01-10 06:17:11
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 7
Époques complétées: 28
Meilleure accuracy dev: 0.5634 (56.34%)
Meilleure loss dev: 1.1668
Temps total d'entraînement: 11247.05 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.5140       0.5228       1.5747       1.3070      
2        0.5455       0.5460       1.4108       1.2297      
3        0.5634       0.5566       1.3016       1.1927      
4        0.5732       0.5594       1.2406       1.1787      
5        0.5810       0.5619       1.2050       1.1723      
6        0.5852       0.5607       1.1825       1.1685      
7        0.5928       0.5634       1.1728       1.1668      
8        0.5955       0.5621       1.1555       1.1702      
9        0.5976       0.5599       1.1363       1.1734      
10       0.6009       0.5601       1.1294       1.1765      
11       0.6034       0.5592       1.1211       1.1789      
12       0.6043       0.5583       1.1079       1.1866      
13       0.6053       0.5567       1.1032       1.1925      
14       0.6059       0.5552       1.1004       1.1966      
15       0.6071       0.5555       1.0820       1.2065      
16       0.6080       0.5554       1.0915       1.2066      
17       0.6096       0.5544       1.0900       1.2114      
18       0.6075       0.5516       1.0884       1.2180      
19       0.6095       0.5537       1.0936       1.2182      
20       0.6073       0.5520       1.1079       1.2195      
21       0.6099       0.5543       1.0919       1.2160      
22       0.6076       0.5522       1.1198       1.2225      
23       0.6102       0.5518       1.0938       1.2156      
24       0.6074       0.5516       1.1084       1.2182      
25       0.6098       0.5534       1.1250       1.2137      
26       0.6045       0.5495       1.1428       1.2228      
27       0.6074       0.5512       1.1533       1.2252      
28       0.6010       0.5494       1.2044       1.2261      
