Historique d'entraînement - CNN_64_128_256_512_1024_Dropout_Gridsearch_Relu_Optimisation_DataAugmentation_200epochs_Generation_Data_Scheduler
============================================================
Date: 2026-01-12 15:56:53
Optimizer: Adam
Learning Rate: 1.220703125e-07
Meilleure époque: 45
Époques complétées: 66
Meilleure accuracy dev: 0.5788 (57.88%)
Meilleure loss dev: 1.1353
Temps total d'entraînement: 21691.37 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.5130       0.5217       1.5906       1.3025      
2        0.5486       0.5483       1.3636       1.2192      
3        0.5657       0.5585       1.2801       1.1879      
4        0.5751       0.5617       1.2348       1.1753      
5        0.5816       0.5617       1.2004       1.1697      
6        0.5873       0.5619       1.1795       1.1679      
7        0.5917       0.5616       1.1584       1.1690      
8        0.5955       0.5618       1.1427       1.1735      
9        0.5970       0.5598       1.1288       1.1791      
10       0.6074       0.5612       1.0925       1.1805      
11       0.6113       0.5615       1.0673       1.1832      
12       0.6097       0.5588       1.0484       1.1915      
13       0.6244       0.5663       1.0338       1.1745      
14       0.6252       0.5648       1.0170       1.1772      
15       0.6270       0.5640       1.0111       1.1790      
16       0.6293       0.5641       1.0023       1.1819      
17       0.6362       0.5662       1.0067       1.1703      
18       0.6371       0.5659       1.0003       1.1711      
19       0.6383       0.5661       0.9956       1.1724      
20       0.6449       0.5685       1.0184       1.1596      
21       0.6462       0.5688       1.0144       1.1577      
22       0.6474       0.5692       1.0092       1.1570      
23       0.6480       0.5691       1.0053       1.1579      
24       0.6484       0.5690       1.0017       1.1580      
25       0.6498       0.5693       0.9987       1.1575      
26       0.6506       0.5694       0.9983       1.1580      
27       0.6508       0.5693       0.9977       1.1583      
28       0.6516       0.5693       0.9955       1.1573      
29       0.6520       0.5691       0.9925       1.1590      
30       0.6577       0.5716       1.0408       1.1500      
31       0.6584       0.5717       1.0371       1.1492      
32       0.6589       0.5718       1.0320       1.1486      
33       0.6589       0.5716       1.0278       1.1482      
34       0.6597       0.5718       1.0246       1.1477      
35       0.6600       0.5717       1.0224       1.1484      
36       0.6667       0.5758       1.0867       1.1417      
37       0.6679       0.5766       1.0872       1.1403      
38       0.6685       0.5772       1.0825       1.1397      
39       0.6692       0.5780       1.0790       1.1393      
40       0.6696       0.5781       1.0765       1.1390      
41       0.6697       0.5782       1.0743       1.1390      
42       0.6698       0.5782       1.0733       1.1385      
43       0.6696       0.5779       1.0714       1.1383      
44       0.6699       0.5779       1.0703       1.1384      
45       0.6732       0.5788       1.1324       1.1353      
46       0.6734       0.5787       1.1336       1.1351      
47       0.6735       0.5788       1.1304       1.1349      
48       0.6735       0.5787       1.1276       1.1348      
49       0.6741       0.5788       1.1627       1.1350      
50       0.6742       0.5786       1.1560       1.1350      
51       0.6743       0.5787       1.1536       1.1350      
52       0.6740       0.5785       1.1686       1.1365      
53       0.6740       0.5783       1.1611       1.1368      
54       0.6741       0.5783       1.1588       1.1369      
55       0.6738       0.5782       1.1648       1.1381      
56       0.6737       0.5782       1.1609       1.1388      
57       0.6737       0.5781       1.1595       1.1391      
58       0.6736       0.5780       1.1608       1.1398      
59       0.6735       0.5779       1.1594       1.1403      
60       0.6735       0.5778       1.1589       1.1407      
61       0.6734       0.5778       1.1591       1.1410      
62       0.6733       0.5779       1.1583       1.1413      
63       0.6733       0.5778       1.1581       1.1415      
64       0.6733       0.5778       1.1583       1.1417      
65       0.6732       0.5778       1.1582       1.1419      
66       0.6732       0.5778       1.1576       1.1420      
