Historique d'entraînement - CNN_64_128_256_512_Relu_Optimisation_DataAugmentation_50epochs_Generation_Data_Batch_Norm
============================================================
Date: 2026-01-10 17:58:47
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 11
Époques complétées: 22
Meilleure accuracy dev: 0.5314 (53.14%)
Meilleure loss dev: 1.2889
Temps total d'entraînement: 6178.02 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.4784       0.4961       1.5126       1.3988      
2        0.4893       0.5048       1.4753       1.3687      
3        0.4990       0.5125       1.4123       1.3470      
4        0.5043       0.5161       1.3732       1.3308      
5        0.5109       0.5206       1.3396       1.3181      
6        0.5157       0.5235       1.3181       1.3086      
7        0.5206       0.5263       1.2994       1.3007      
8        0.5237       0.5281       1.2826       1.2962      
9        0.5270       0.5295       1.2703       1.2919      
10       0.5299       0.5305       1.2577       1.2891      
11       0.5326       0.5314       1.2464       1.2889      
12       0.5348       0.5311       1.2345       1.2891      
13       0.5357       0.5300       1.2242       1.2914      
14       0.5374       0.5302       1.2132       1.2926      
15       0.5384       0.5292       1.2023       1.2945      
16       0.5402       0.5284       1.1956       1.2974      
17       0.5408       0.5275       1.1849       1.2998      
18       0.5426       0.5274       1.1742       1.3049      
19       0.5431       0.5258       1.1656       1.3094      
20       0.5437       0.5247       1.1565       1.3161      
21       0.5447       0.5237       1.1480       1.3214      
22       0.5457       0.5230       1.1402       1.3297      
