Historique d'entraînement - CNN_64_128_256_Dropout_Gridsearch_Relu
============================================================
Date: 2026-01-09 06:11:31
Optimizer: Adam
Learning Rate: 0.005
Meilleure époque: 20
Époques complétées: 20
Meilleure accuracy dev: 0.3816 (38.16%)
Meilleure loss dev: 1.7766
Temps total d'entraînement: 1349.74 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.3553       0.3384       2.4027       1.9458      
2        0.3804       0.3519       2.0191       1.8585      
3        0.3987       0.3616       1.9370       1.8173      
4        0.4162       0.3731       1.8938       1.8136      
5        0.4167       0.3724       1.8609       1.8056      
6        0.4222       0.3733       1.8378       1.7837      
7        0.4307       0.3781       1.8161       1.7799      
8        0.4369       0.3778       1.8025       1.7725      
9        0.4313       0.3693       1.7882       1.7750      
10       0.4390       0.3767       1.7760       1.7718      
11       0.4423       0.3809       1.7628       1.7717      
12       0.4388       0.3699       1.7560       1.7786      
13       0.4499       0.3789       1.7510       1.7674      
14       0.4435       0.3779       1.7421       1.7799      
15       0.4499       0.3801       1.7379       1.7722      
16       0.4485       0.3814       1.7307       1.7692      
17       0.4474       0.3769       1.7282       1.7983      
18       0.4428       0.3749       1.7291       1.7964      
19       0.4516       0.3789       1.7194       1.7782      
20       0.4571       0.3816       1.7152       1.7766      
