Historique d'entraînement - CNN_64_64_64_LSTM_128_BatchNorm_5_History_Base_Dataset_20epochs
============================================================
Date: 2026-01-11 16:24:58
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 12
Époques complétées: 18
Meilleure accuracy dev: 0.4716 (47.16%)
Meilleure loss dev: 1.5464
Temps total d'entraînement: 1769.28 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.3720       0.3644       2.6423       1.9758      
2        0.4339       0.4158       1.9551       1.7688      
3        0.4609       0.4328       1.8005       1.6905      
4        0.4829       0.4440       1.7158       1.6442      
5        0.4971       0.4512       1.6529       1.6071      
6        0.5116       0.4598       1.6067       1.5892      
7        0.5210       0.4620       1.5673       1.5777      
8        0.5326       0.4651       1.5353       1.5641      
9        0.5414       0.4686       1.5050       1.5535      
10       0.5473       0.4670       1.4835       1.5503      
11       0.5561       0.4693       1.4598       1.5511      
12       0.5623       0.4716       1.4405       1.5464      
13       0.5650       0.4703       1.4231       1.5467      
14       0.5709       0.4709       1.4096       1.5438      
15       0.5728       0.4681       1.3953       1.5466      
16       0.5793       0.4658       1.3819       1.5485      
17       0.5825       0.4693       1.3707       1.5494      
18       0.5895       0.4712       1.3596       1.5471      
