Historique d'entraînement - CNN_64_64_64_LSTM_Res_128_BatchNorm_5_History_Base_Dataset_20epochs
============================================================
Date: 2026-01-11 18:16:00
Optimizer: Adam
Learning Rate: 0.005
Meilleure époque: 16
Époques complétées: 20
Meilleure accuracy dev: 0.4528 (45.28%)
Meilleure loss dev: 1.7267
Temps total d'entraînement: 2715.10 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.3962       0.3881       2.4197       1.8933      
2        0.4447       0.4238       1.7375       1.7293      
3        0.4665       0.4362       1.5987       1.6818      
4        0.4790       0.4427       1.5244       1.6686      
5        0.4921       0.4493       1.4750       1.6645      
6        0.4979       0.4459       1.4371       1.6759      
7        0.5040       0.4457       1.4087       1.6825      
8        0.5078       0.4461       1.3829       1.6998      
9        0.5137       0.4470       1.3636       1.7045      
10       0.5146       0.4475       1.3489       1.7178      
11       0.5212       0.4503       1.3354       1.7189      
12       0.5243       0.4501       1.3225       1.7272      
13       0.5234       0.4478       1.3109       1.7378      
14       0.5286       0.4497       1.3021       1.7324      
15       0.5317       0.4470       1.2998       1.7235      
16       0.5359       0.4528       1.2882       1.7267      
17       0.5330       0.4488       1.2823       1.7403      
18       0.5296       0.4434       1.2803       1.7456      
19       0.5335       0.4463       1.2782       1.7397      
20       0.5403       0.4481       1.2690       1.7420      
