Historique d'entraînement - CNN_64_64_64_LSTM_Res_128_BatchNorm_5_History_Base_Dataset_Scheduler_50epochs
============================================================
Date: 2026-01-11 20:33:09
Optimizer: Adam
Learning Rate: 6.25e-05
Meilleure époque: 8
Époques complétées: 19
Meilleure accuracy dev: 0.4550 (45.50%)
Meilleure loss dev: 1.6944
Temps total d'entraînement: 2083.50 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.4138       0.3971       2.2620       1.8369      
2        0.4651       0.4314       1.6942       1.7038      
3        0.4892       0.4415       1.5439       1.6624      
4        0.5107       0.4456       1.4409       1.6446      
5        0.5218       0.4455       1.3591       1.6600      
6        0.5330       0.4429       1.2887       1.6832      
7        0.5406       0.4436       1.2272       1.7122      
8        0.5715       0.4550       1.1272       1.6944      
9        0.5775       0.4528       1.0711       1.7203      
10       0.5832       0.4505       1.0278       1.7493      
11       0.5895       0.4501       0.9885       1.7805      
12       0.6082       0.4535       0.9500       1.7725      
13       0.6133       0.4541       0.9176       1.7888      
14       0.6173       0.4528       0.8915       1.8078      
15       0.6319       0.4512       0.8883       1.7993      
16       0.6401       0.4543       0.8688       1.8071      
17       0.6429       0.4539       0.8526       1.8165      
18       0.6546       0.4546       0.8648       1.8068      
19       0.6576       0.4539       0.8523       1.8105      
