Historique d'entraînement - CNN_64_64_64_LSTM_Res_128_BatchNorm_5_History_Base_Dataset_Scheduler_50epochs
============================================================
Date: 2026-01-12 01:00:11
Optimizer: Adam
Learning Rate: 3.125e-05
Meilleure époque: 49
Époques complétées: 50
Meilleure accuracy dev: 0.5397 (53.97%)
Meilleure loss dev: 1.2920
Temps total d'entraînement: 13292.25 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.4423       0.4567       1.8377       1.5930      
2        0.4728       0.4809       1.6097       1.4975      
3        0.4901       0.4930       1.4996       1.4464      
4        0.5007       0.4992       1.4350       1.4166      
5        0.5084       0.5045       1.3954       1.3991      
6        0.5147       0.5077       1.3608       1.3860      
7        0.5197       0.5105       1.3296       1.3763      
8        0.5243       0.5127       1.3085       1.3677      
9        0.5286       0.5149       1.2868       1.3607      
10       0.5318       0.5167       1.2680       1.3552      
11       0.5353       0.5179       1.2545       1.3508      
12       0.5379       0.5191       1.2407       1.3481      
13       0.5405       0.5199       1.2296       1.3466      
14       0.5425       0.5206       1.2200       1.3450      
15       0.5441       0.5214       1.2118       1.3447      
16       0.5453       0.5209       1.2037       1.3451      
17       0.5472       0.5213       1.1953       1.3446      
18       0.5488       0.5215       1.1880       1.3448      
19       0.5589       0.5279       1.1850       1.3304      
20       0.5594       0.5279       1.1716       1.3308      
21       0.5603       0.5278       1.1639       1.3314      
22       0.5611       0.5278       1.1572       1.3321      
23       0.5670       0.5312       1.1694       1.3214      
24       0.5675       0.5313       1.1593       1.3207      
25       0.5679       0.5312       1.1531       1.3203      
26       0.5688       0.5318       1.1482       1.3202      
27       0.5691       0.5317       1.1441       1.3202      
28       0.5695       0.5318       1.1403       1.3202      
29       0.5699       0.5317       1.1368       1.3203      
30       0.5740       0.5340       1.1600       1.3104      
31       0.5741       0.5340       1.1541       1.3096      
32       0.5738       0.5335       1.1501       1.3092      
33       0.5748       0.5347       1.1470       1.3087      
34       0.5746       0.5344       1.1445       1.3084      
35       0.5753       0.5349       1.1422       1.3081      
36       0.5755       0.5351       1.1403       1.3079      
37       0.5753       0.5348       1.1385       1.3077      
38       0.5756       0.5349       1.1369       1.3076      
39       0.5754       0.5345       1.1354       1.3074      
40       0.5778       0.5368       1.1752       1.3004      
41       0.5775       0.5369       1.1734       1.2994      
42       0.5774       0.5371       1.1714       1.2989      
43       0.5773       0.5371       1.1696       1.2984      
44       0.5767       0.5368       1.1681       1.2979      
45       0.5766       0.5369       1.1667       1.2975      
46       0.5775       0.5387       1.2178       1.2928      
47       0.5774       0.5394       1.2181       1.2922      
48       0.5773       0.5396       1.2168       1.2920      
49       0.5770       0.5397       1.2150       1.2920      
50       0.5769       0.5396       1.2130       1.2919      
