Historique d'entraînement - LSTMHiddenState_64
============================================================
Date: 2026-01-07 13:38:45
Optimizer: Adam
Learning Rate: 0.005
Meilleure époque: 19
Époques complétées: 20
Meilleure accuracy dev: 0.3523 (35.23%)
Meilleure loss dev: 2.0979
Temps total d'entraînement: 167.09 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1928       0.1828       3.2056       2.9206      
2        0.2500       0.2324       2.7663       2.7097      
3        0.2879       0.2611       2.5706       2.5626      
4        0.3149       0.2830       2.4301       2.4573      
5        0.3347       0.2978       2.3257       2.3828      
6        0.3496       0.3099       2.2436       2.3223      
7        0.3616       0.3184       2.1770       2.2759      
8        0.3709       0.3258       2.1242       2.2416      
9        0.3772       0.3302       2.0821       2.2151      
10       0.3835       0.3352       2.0476       2.1944      
11       0.3890       0.3385       2.0183       2.1771      
12       0.3950       0.3412       1.9924       2.1623      
13       0.3987       0.3429       1.9691       2.1496      
14       0.4025       0.3460       1.9483       2.1384      
15       0.4066       0.3476       1.9295       2.1277      
16       0.4099       0.3493       1.9125       2.1181      
17       0.4137       0.3507       1.8971       2.1099      
18       0.4164       0.3512       1.8832       2.1032      
19       0.4191       0.3523       1.8700       2.0979      
20       0.4200       0.3520       1.8580       2.0928      
