Historique d'entraînement - LSTMHiddenState_Dropout_64
============================================================
Date: 2026-01-07 14:21:43
Optimizer: Adam
Learning Rate: 0.005
Meilleure époque: 20
Époques complétées: 20
Meilleure accuracy dev: 0.3543 (35.43%)
Meilleure loss dev: 2.1169
Temps total d'entraînement: 179.81 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1962       0.1882       3.2358       2.9405      
2        0.2457       0.2293       2.8374       2.7368      
3        0.2813       0.2599       2.6629       2.5985      
4        0.3041       0.2788       2.5439       2.5032      
5        0.3235       0.2941       2.4599       2.4299      
6        0.3349       0.3032       2.3908       2.3747      
7        0.3477       0.3129       2.3370       2.3272      
8        0.3591       0.3219       2.2934       2.2944      
9        0.3693       0.3285       2.2545       2.2617      
10       0.3734       0.3331       2.2236       2.2363      
11       0.3796       0.3370       2.1936       2.2164      
12       0.3840       0.3380       2.1745       2.2004      
13       0.3912       0.3421       2.1505       2.1865      
14       0.3914       0.3417       2.1338       2.1730      
15       0.3955       0.3438       2.1179       2.1594      
16       0.3999       0.3481       2.1008       2.1515      
17       0.4009       0.3477       2.0871       2.1416      
18       0.4051       0.3515       2.0789       2.1299      
19       0.4070       0.3522       2.0647       2.1239      
20       0.4107       0.3543       2.0533       2.1169      
