Historique d'entraînement - LSTMHiddenState_Dropout_Relu_256_Post_Optimisation_DataAugmentation_20epochs
============================================================
Date: 2026-01-09 08:32:11
Optimizer: Adam
Learning Rate: 0.005
Meilleure époque: 19
Époques complétées: 20
Meilleure accuracy dev: 0.4621 (46.21%)
Meilleure loss dev: 1.5217
Temps total d'entraînement: 1586.37 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.3962       0.3911       2.2609       1.7920      
2        0.4291       0.4189       1.7962       1.6646      
3        0.4466       0.4321       1.7043       1.6138      
4        0.4558       0.4392       1.6565       1.5887      
5        0.4626       0.4431       1.6246       1.5731      
6        0.4693       0.4476       1.6017       1.5595      
7        0.4736       0.4504       1.5827       1.5503      
8        0.4776       0.4518       1.5674       1.5427      
9        0.4796       0.4537       1.5570       1.5392      
10       0.4822       0.4549       1.5463       1.5358      
11       0.4841       0.4559       1.5369       1.5321      
12       0.4859       0.4560       1.5296       1.5289      
13       0.4888       0.4579       1.5234       1.5274      
14       0.4913       0.4595       1.5178       1.5249      
15       0.4914       0.4590       1.5123       1.5246      
16       0.4910       0.4584       1.5094       1.5246      
17       0.4936       0.4603       1.5031       1.5254      
18       0.4948       0.4611       1.4995       1.5235      
19       0.4971       0.4621       1.4954       1.5217      
20       0.4960       0.4611       1.4916       1.5262      
