Historique d'entraînement - LSTMHiddenState_Dropout_Relu_256_Post_Optimisation_DataAugmentation_20epochs_Generation_Data
============================================================
Date: 2026-01-10 02:37:38
Optimizer: Adam
Learning Rate: 0.005
Meilleure époque: 20
Époques complétées: 20
Meilleure accuracy dev: 0.4943 (49.43%)
Meilleure loss dev: 1.4154
Temps total d'entraînement: 2960.11 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.4237       0.4213       2.1072       1.7005      
2        0.4531       0.4472       1.6972       1.5907      
3        0.4672       0.4599       1.6148       1.5389      
4        0.4775       0.4677       1.5692       1.5135      
5        0.4833       0.4727       1.5386       1.4929      
6        0.4891       0.4766       1.5160       1.4771      
7        0.4928       0.4794       1.5002       1.4681      
8        0.4960       0.4817       1.4868       1.4581      
9        0.4981       0.4829       1.4758       1.4505      
10       0.5009       0.4848       1.4662       1.4456      
11       0.5025       0.4867       1.4588       1.4405      
12       0.5037       0.4878       1.4514       1.4376      
13       0.5060       0.4894       1.4458       1.4333      
14       0.5069       0.4890       1.4402       1.4332      
15       0.5087       0.4906       1.4357       1.4248      
16       0.5086       0.4917       1.4316       1.4254      
17       0.5100       0.4921       1.4278       1.4223      
18       0.5113       0.4927       1.4245       1.4215      
19       0.5112       0.4931       1.4207       1.4206      
20       0.5142       0.4943       1.4176       1.4154      
