Historique d'entraînement - LSTMHiddenState_Dropout_Relu_64
============================================================
Date: 2026-01-07 14:40:04
Optimizer: Adam
Learning Rate: 0.005
Meilleure époque: 19
Époques complétées: 20
Meilleure accuracy dev: 0.2982 (29.82%)
Meilleure loss dev: 2.3676
Temps total d'entraînement: 248.54 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1739       0.1633       3.3223       3.0137      
2        0.2209       0.2055       2.9444       2.8168      
3        0.2487       0.2292       2.8007       2.7036      
4        0.2656       0.2454       2.7075       2.6323      
5        0.2768       0.2541       2.6438       2.5765      
6        0.2879       0.2638       2.5868       2.5313      
7        0.2932       0.2667       2.5451       2.5019      
8        0.3018       0.2722       2.5143       2.4770      
9        0.3071       0.2789       2.4829       2.4575      
10       0.3143       0.2831       2.4607       2.4348      
11       0.3166       0.2834       2.4425       2.4194      
12       0.3219       0.2897       2.4228       2.4048      
13       0.3252       0.2901       2.4077       2.4000      
14       0.3271       0.2925       2.3928       2.3913      
15       0.3298       0.2910       2.3818       2.3858      
16       0.3334       0.2962       2.3713       2.3807      
17       0.3342       0.2947       2.3636       2.3752      
18       0.3368       0.2957       2.3516       2.3736      
19       0.3361       0.2982       2.3469       2.3676      
20       0.3368       0.2942       2.3405       2.3692      
