Historique d'entraînement - LSTMHiddenState_Dropout_Relu_Gridsearch_512_256_128
============================================================
Date: 2026-01-08 00:07:56
Optimizer: Adam
Learning Rate: 0.005
Meilleure époque: 18
Époques complétées: 20
Meilleure accuracy dev: 0.2701 (27.01%)
Meilleure loss dev: 2.8433
Temps total d'entraînement: 1624.28 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1353       0.1271       3.4152       3.1947      
2        0.1931       0.1709       3.0405       2.9449      
3        0.2270       0.1928       2.8630       2.8577      
4        0.2547       0.2086       2.7408       2.8063      
5        0.2840       0.2222       2.6372       2.7565      
6        0.3036       0.2318       2.5476       2.7288      
7        0.3278       0.2381       2.4661       2.7022      
8        0.3489       0.2451       2.3927       2.7118      
9        0.3630       0.2491       2.3227       2.7169      
10       0.3797       0.2537       2.2654       2.7169      
11       0.3888       0.2538       2.2137       2.7317      
12       0.4034       0.2587       2.1708       2.7315      
13       0.4155       0.2592       2.1243       2.7426      
14       0.4288       0.2638       2.0816       2.7384      
15       0.4364       0.2643       2.0475       2.7995      
16       0.4433       0.2614       2.0107       2.8180      
17       0.4536       0.2636       1.9860       2.8152      
18       0.4616       0.2701       1.9579       2.8433      
19       0.4662       0.2662       1.9347       2.8457      
20       0.4740       0.2687       1.9175       2.8594      
