Historique d'entraînement - LSTMHiddenState_Dropout_Relu_Softmax_64
============================================================
Date: 2026-01-07 14:58:50
Optimizer: Adam
Learning Rate: 0.005
Meilleure époque: 19
Époques complétées: 20
Meilleure accuracy dev: 0.1967 (19.67%)
Meilleure loss dev: 3.9888
Temps total d'entraînement: 266.04 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1272       0.1172       4.0898       4.0685      
2        0.1473       0.1346       4.0550       4.0519      
3        0.1652       0.1485       4.0375       4.0383      
4        0.1796       0.1570       4.0219       4.0299      
5        0.1909       0.1638       4.0096       4.0234      
6        0.2006       0.1704       4.0010       4.0162      
7        0.2074       0.1715       3.9934       4.0140      
8        0.2123       0.1760       3.9869       4.0100      
9        0.2175       0.1779       3.9819       4.0076      
10       0.2238       0.1833       3.9775       4.0030      
11       0.2260       0.1850       3.9729       4.0012      
12       0.2317       0.1859       3.9693       3.9992      
13       0.2354       0.1889       3.9651       3.9968      
14       0.2393       0.1904       3.9606       3.9946      
15       0.2440       0.1926       3.9571       3.9930      
16       0.2452       0.1929       3.9544       3.9926      
17       0.2496       0.1947       3.9525       3.9901      
18       0.2521       0.1941       3.9503       3.9907      
19       0.2539       0.1967       3.9472       3.9888      
20       0.2552       0.1963       3.9454       3.9893      
