Historique d'entraînement - LSTMHiddenState_Dropout_Relu_Softmax_Gridsearch_64
============================================================
Date: 2026-01-07 15:27:11
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 48
Époques complétées: 50
Meilleure accuracy dev: 0.1871 (18.71%)
Meilleure loss dev: 3.9993
Temps total d'entraînement: 521.74 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.0996       0.0940       4.1213       4.0950      
2        0.1154       0.1048       4.0829       4.0812      
3        0.1262       0.1144       4.0702       4.0731      
4        0.1347       0.1197       4.0613       4.0672      
5        0.1450       0.1283       4.0538       4.0598      
6        0.1515       0.1335       4.0446       4.0542      
7        0.1583       0.1373       4.0384       4.0510      
8        0.1626       0.1410       4.0332       4.0475      
9        0.1686       0.1443       4.0278       4.0429      
10       0.1734       0.1480       4.0229       4.0398      
11       0.1793       0.1521       4.0177       4.0357      
12       0.1835       0.1541       4.0131       4.0330      
13       0.1878       0.1587       4.0093       4.0297      
14       0.1914       0.1596       4.0057       4.0279      
15       0.1947       0.1631       4.0023       4.0254      
16       0.1983       0.1652       3.9996       4.0228      
17       0.2006       0.1661       3.9964       4.0212      
18       0.2029       0.1672       3.9939       4.0204      
19       0.2059       0.1683       3.9917       4.0187      
20       0.2091       0.1691       3.9893       4.0174      
21       0.2120       0.1710       3.9862       4.0157      
22       0.2139       0.1737       3.9838       4.0138      
23       0.2158       0.1751       3.9819       4.0128      
24       0.2193       0.1751       3.9795       4.0116      
25       0.2211       0.1770       3.9776       4.0108      
26       0.2230       0.1768       3.9759       4.0095      
27       0.2243       0.1776       3.9741       4.0095      
28       0.2265       0.1792       3.9725       4.0081      
29       0.2282       0.1793       3.9705       4.0074      
30       0.2289       0.1797       3.9691       4.0069      
31       0.2310       0.1798       3.9670       4.0064      
32       0.2328       0.1803       3.9658       4.0061      
33       0.2347       0.1818       3.9651       4.0050      
34       0.2359       0.1820       3.9631       4.0048      
35       0.2370       0.1816       3.9618       4.0041      
36       0.2385       0.1828       3.9608       4.0036      
37       0.2397       0.1830       3.9595       4.0030      
38       0.2421       0.1846       3.9584       4.0019      
39       0.2411       0.1838       3.9566       4.0028      
40       0.2429       0.1842       3.9556       4.0015      
41       0.2440       0.1840       3.9544       4.0015      
42       0.2458       0.1845       3.9535       4.0013      
43       0.2471       0.1849       3.9526       4.0006      
44       0.2490       0.1866       3.9522       3.9996      
45       0.2495       0.1851       3.9505       4.0002      
46       0.2507       0.1855       3.9496       3.9999      
47       0.2496       0.1864       3.9487       4.0002      
48       0.2524       0.1871       3.9483       3.9993      
49       0.2521       0.1859       3.9472       3.9995      
50       0.2540       0.1866       3.9461       3.9993      
