Historique d'entraînement - LSTMHiddenState_Dropout_Relu_Softmax_Gridsearch_64
============================================================
Date: 2026-01-07 16:15:38
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 20
Époques complétées: 20
Meilleure accuracy dev: 0.1893 (18.93%)
Meilleure loss dev: 3.9966
Temps total d'entraînement: 1246.11 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1176       0.1111       4.0965       4.0755      
2        0.1390       0.1252       4.0626       4.0608      
3        0.1546       0.1380       4.0471       4.0491      
4        0.1660       0.1464       4.0356       4.0405      
5        0.1747       0.1506       4.0264       4.0349      
6        0.1832       0.1609       4.0190       4.0278      
7        0.1901       0.1633       4.0122       4.0236      
8        0.1961       0.1670       4.0050       4.0200      
9        0.2035       0.1720       4.0004       4.0145      
10       0.2054       0.1741       3.9951       4.0133      
11       0.2108       0.1763       3.9915       4.0101      
12       0.2157       0.1787       3.9873       4.0075      
13       0.2185       0.1810       3.9841       4.0057      
14       0.2214       0.1815       3.9811       4.0047      
15       0.2247       0.1841       3.9773       4.0027      
16       0.2289       0.1862       3.9746       4.0003      
17       0.2319       0.1877       3.9723       3.9992      
18       0.2337       0.1882       3.9696       3.9981      
19       0.2357       0.1872       3.9671       3.9980      
20       0.2379       0.1893       3.9651       3.9966      
