Historique d'entraînement - LSTMHiddenState_Dropout_Tanh_64
============================================================
Date: 2026-01-07 14:36:17
Optimizer: Adam
Learning Rate: 0.005
Meilleure époque: 19
Époques complétées: 20
Meilleure accuracy dev: 0.3494 (34.94%)
Meilleure loss dev: 2.1435
Temps total d'entraînement: 246.82 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1889       0.1823       3.2525       2.9597      
2        0.2369       0.2204       2.8577       2.7705      
3        0.2729       0.2549       2.6880       2.6307      
4        0.2981       0.2761       2.5655       2.5211      
5        0.3193       0.2930       2.4697       2.4365      
6        0.3345       0.3042       2.3985       2.3761      
7        0.3453       0.3119       2.3408       2.3323      
8        0.3572       0.3194       2.2934       2.2945      
9        0.3654       0.3218       2.2549       2.2638      
10       0.3714       0.3278       2.2224       2.2393      
11       0.3774       0.3316       2.1942       2.2157      
12       0.3836       0.3353       2.1682       2.1968      
13       0.3891       0.3390       2.1484       2.1818      
14       0.3945       0.3402       2.1322       2.1716      
15       0.3982       0.3432       2.1157       2.1588      
16       0.4014       0.3435       2.1013       2.1565      
17       0.4047       0.3439       2.0910       2.1513      
18       0.4034       0.3437       2.0821       2.1466      
19       0.4109       0.3494       2.0700       2.1435      
20       0.4116       0.3491       2.0627       2.1374      
