Historique d'entraînement - LSTMHiddenState_Dropout_Tanh_Gridsearch_512_256_128
============================================================
Date: 2026-01-08 17:22:49
Optimizer: Adam
Learning Rate: 0.01
Meilleure époque: 16
Époques complétées: 20
Meilleure accuracy dev: 0.1965 (19.65%)
Meilleure loss dev: 2.9030
Temps total d'entraînement: 867.65 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1114       0.1038       3.4900       3.3277      
2        0.1454       0.1308       3.2341       3.1813      
3        0.1636       0.1487       3.1244       3.0965      
4        0.1776       0.1588       3.0472       3.0441      
5        0.1838       0.1624       2.9987       3.0223      
6        0.1904       0.1657       2.9635       3.0072      
7        0.1961       0.1699       2.9358       2.9903      
8        0.2000       0.1751       2.9095       2.9684      
9        0.2056       0.1793       2.8888       2.9569      
10       0.2095       0.1800       2.8688       2.9521      
11       0.2118       0.1837       2.8530       2.9362      
12       0.2158       0.1846       2.8436       2.9285      
13       0.2180       0.1847       2.8345       2.9298      
14       0.2211       0.1849       2.8165       2.9164      
15       0.2235       0.1900       2.8054       2.9069      
16       0.2239       0.1965       2.8053       2.9030      
17       0.2261       0.1920       2.7938       2.8998      
18       0.2295       0.1942       2.7838       2.8969      
19       0.2312       0.1949       2.7755       2.8951      
20       0.2328       0.1924       2.7659       2.8959      
