Historique d'entraînement - LSTMHiddenState_Dropout_Tanh_Gridsearch_512_256
============================================================
Date: 2026-01-08 16:45:18
Optimizer: Adam
Learning Rate: 0.01
Meilleure époque: 19
Époques complétées: 20
Meilleure accuracy dev: 0.3080 (30.80%)
Meilleure loss dev: 2.7138
Temps total d'entraînement: 755.15 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.2197       0.1981       3.1837       2.8954      
2        0.2734       0.2300       2.8161       2.7395      
3        0.3066       0.2487       2.6500       2.6518      
4        0.3370       0.2621       2.5257       2.6029      
5        0.3570       0.2756       2.4235       2.5657      
6        0.3822       0.2808       2.3459       2.5421      
7        0.3974       0.2868       2.2718       2.5460      
8        0.4163       0.2906       2.2088       2.5597      
9        0.4283       0.2929       2.1595       2.5663      
10       0.4441       0.2993       2.1107       2.5653      
11       0.4513       0.2974       2.0723       2.5829      
12       0.4609       0.3002       2.0393       2.5933      
13       0.4684       0.3009       2.0041       2.6021      
14       0.4780       0.3010       1.9771       2.6202      
15       0.4822       0.3012       1.9526       2.6225      
16       0.4877       0.3062       1.9300       2.6691      
17       0.4964       0.3044       1.9133       2.6747      
18       0.5051       0.3079       1.8895       2.6922      
19       0.5098       0.3080       1.8697       2.7138      
20       0.5122       0.3055       1.8488       2.7293      
