Historique d'entraînement - LSTMHiddenState_Dropout_Tanh_Gridsearch_64
============================================================
Date: 2026-01-08 14:07:24
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 20
Époques complétées: 20
Meilleure accuracy dev: 0.3081 (30.81%)
Meilleure loss dev: 2.3670
Temps total d'entraînement: 615.99 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1493       0.1425       3.4517       3.1584      
2        0.1867       0.1788       3.0751       2.9791      
3        0.2129       0.2009       2.9462       2.8758      
4        0.2349       0.2218       2.8483       2.7886      
5        0.2512       0.2330       2.7716       2.7190      
6        0.2663       0.2448       2.7091       2.6612      
7        0.2793       0.2577       2.6585       2.6114      
8        0.2893       0.2649       2.6171       2.5744      
9        0.2956       0.2668       2.5825       2.5452      
10       0.3052       0.2745       2.5531       2.5177      
11       0.3113       0.2777       2.5248       2.4978      
12       0.3169       0.2822       2.5028       2.4796      
13       0.3216       0.2862       2.4821       2.4622      
14       0.3262       0.2896       2.4626       2.4475      
15       0.3308       0.2934       2.4458       2.4354      
16       0.3350       0.2960       2.4312       2.4183      
17       0.3399       0.2992       2.4153       2.4036      
18       0.3428       0.3025       2.3981       2.3893      
19       0.3464       0.3051       2.3853       2.3800      
20       0.3498       0.3081       2.3758       2.3670      
