Historique d'entraînement - LSTMHiddenState_Dropout_Tanh_Softmax_64
============================================================
Date: 2026-01-07 14:59:33
Optimizer: Adam
Learning Rate: 0.005
Meilleure époque: 19
Époques complétées: 20
Meilleure accuracy dev: 0.2210 (22.10%)
Meilleure loss dev: 3.9660
Temps total d'entraînement: 275.36 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1364       0.1246       4.0822       4.0623      
2        0.1640       0.1460       4.0429       4.0410      
3        0.1840       0.1628       4.0203       4.0241      
4        0.1999       0.1745       4.0026       4.0126      
5        0.2153       0.1859       3.9883       4.0014      
6        0.2252       0.1911       3.9768       3.9958      
7        0.2319       0.1947       3.9683       3.9922      
8        0.2384       0.1957       3.9613       3.9902      
9        0.2448       0.2023       3.9555       3.9849      
10       0.2505       0.2020       3.9502       3.9842      
11       0.2553       0.2062       3.9456       3.9802      
12       0.2606       0.2072       3.9415       3.9793      
13       0.2669       0.2117       3.9362       3.9751      
14       0.2702       0.2131       3.9326       3.9734      
15       0.2747       0.2163       3.9279       3.9701      
16       0.2749       0.2154       3.9256       3.9708      
17       0.2804       0.2183       3.9227       3.9682      
18       0.2816       0.2172       3.9196       3.9687      
19       0.2863       0.2210       3.9173       3.9660      
20       0.2853       0.2202       3.9152       3.9659      
