Historique d'entraînement - MLP
============================================================
Date: 2026-01-12 16:39:58
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 19
Époques complétées: 20
Meilleure accuracy dev: 0.1653 (16.53%)
Meilleure loss dev: 4.0205
Temps total d'entraînement: 213.94 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1211       0.1182       4.0942       4.0676      
2        0.1416       0.1368       4.0560       4.0525      
3        0.1488       0.1429       4.0436       4.0446      
4        0.1538       0.1471       4.0365       4.0396      
5        0.1575       0.1505       4.0316       4.0361      
6        0.1607       0.1542       4.0282       4.0329      
7        0.1629       0.1550       4.0256       4.0317      
8        0.1651       0.1565       4.0235       4.0300      
9        0.1669       0.1573       4.0216       4.0286      
10       0.1680       0.1589       4.0197       4.0270      
11       0.1699       0.1603       4.0184       4.0256      
12       0.1708       0.1615       4.0170       4.0242      
13       0.1713       0.1621       4.0159       4.0239      
14       0.1723       0.1628       4.0150       4.0232      
15       0.1737       0.1634       4.0142       4.0226      
16       0.1740       0.1633       4.0134       4.0224      
17       0.1746       0.1643       4.0129       4.0217      
18       0.1754       0.1645       4.0122       4.0214      
19       0.1756       0.1653       4.0115       4.0205      
20       0.1761       0.1648       4.0112       4.0208      
