Historique d'entraînement - MLP_256_128_Dropout_Gridsearch_Relu
============================================================
Date: 2026-01-08 01:48:01
Optimizer: Adam
Learning Rate: 0.005
Meilleure époque: 20
Époques complétées: 20
Meilleure accuracy dev: 0.2066 (20.66%)
Meilleure loss dev: 2.8577
Temps total d'entraînement: 720.24 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1647       0.1577       3.3914       3.1279      
2        0.1862       0.1758       3.2285       3.0322      
3        0.1926       0.1822       3.1750       2.9972      
4        0.1986       0.1863       3.1446       2.9694      
5        0.2007       0.1855       3.1237       2.9382      
6        0.2019       0.1879       3.1148       2.9378      
7        0.2026       0.1894       3.1059       2.9257      
8        0.2061       0.1930       3.0966       2.9083      
9        0.2061       0.1926       3.0949       2.9085      
10       0.2075       0.1950       3.0862       2.9061      
11       0.2072       0.1957       3.0795       2.9009      
12       0.2150       0.2014       3.0789       2.8927      
13       0.2161       0.2049       3.0725       2.8944      
14       0.2139       0.2035       3.0683       2.8831      
15       0.2157       0.2020       3.0660       2.8846      
16       0.2179       0.2052       3.0608       2.8829      
17       0.2194       0.2031       3.0590       2.8756      
18       0.2167       0.2035       3.0584       2.8775      
19       0.2181       0.2035       3.0555       2.8724      
20       0.2189       0.2066       3.0511       2.8577      
