Historique d'entraînement - MLP_512_256_128_64_Dropout_Gridsearch_Relu
============================================================
Date: 2026-01-08 07:20:31
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 20
Époques complétées: 20
Meilleure accuracy dev: 0.1913 (19.13%)
Meilleure loss dev: 2.9473
Temps total d'entraînement: 1083.76 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1079       0.1029       3.6226       3.3436      
2        0.1351       0.1301       3.3900       3.2342      
3        0.1496       0.1401       3.3224       3.1774      
4        0.1581       0.1483       3.2809       3.1358      
5        0.1647       0.1526       3.2518       3.1137      
6        0.1690       0.1577       3.2308       3.0856      
7        0.1722       0.1623       3.2173       3.0675      
8        0.1801       0.1673       3.1984       3.0481      
9        0.1849       0.1717       3.1866       3.0315      
10       0.1863       0.1712       3.1744       3.0169      
11       0.1893       0.1749       3.1676       3.0073      
12       0.1933       0.1764       3.1602       3.0058      
13       0.1958       0.1803       3.1517       2.9925      
14       0.1982       0.1809       3.1456       2.9824      
15       0.2018       0.1839       3.1390       2.9769      
16       0.2015       0.1847       3.1341       2.9747      
17       0.2043       0.1874       3.1270       2.9618      
18       0.2057       0.1871       3.1245       2.9614      
19       0.2064       0.1891       3.1166       2.9563      
20       0.2104       0.1913       3.1104       2.9473      
