Historique d'entraînement - MLP_512_256_128_Dropout_Gridsearch_Relu
============================================================
Date: 2026-01-08 05:15:39
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 20
Époques complétées: 20
Meilleure accuracy dev: 0.2631 (26.31%)
Meilleure loss dev: 2.6177
Temps total d'entraînement: 901.28 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1502       0.1472       3.5019       3.2029      
2        0.1777       0.1710       3.2511       3.0695      
3        0.1920       0.1798       3.1702       2.9955      
4        0.2068       0.1968       3.1214       2.9487      
5        0.2185       0.2025       3.0805       2.9061      
6        0.2267       0.2112       3.0537       2.8721      
7        0.2326       0.2161       3.0278       2.8460      
8        0.2417       0.2245       3.0039       2.8113      
9        0.2443       0.2270       2.9868       2.7900      
10       0.2519       0.2341       2.9715       2.7772      
11       0.2561       0.2370       2.9516       2.7480      
12       0.2592       0.2409       2.9369       2.7278      
13       0.2642       0.2424       2.9259       2.7165      
14       0.2683       0.2457       2.9157       2.7046      
15       0.2728       0.2543       2.9004       2.6786      
16       0.2751       0.2562       2.8947       2.6751      
17       0.2806       0.2620       2.8801       2.6524      
18       0.2815       0.2594       2.8726       2.6395      
19       0.2859       0.2625       2.8591       2.6346      
20       0.2875       0.2631       2.8509       2.6177      
