Historique d'entraînement - MLP_512_256_128_Dropout_Gridsearch_Tanh
============================================================
Date: 2026-01-08 15:38:45
Optimizer: Adam
Learning Rate: 0.005
Meilleure époque: 12
Époques complétées: 18
Meilleure accuracy dev: 0.1291 (12.91%)
Meilleure loss dev: 3.3159
Temps total d'entraînement: 794.11 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1160       0.1127       3.6742       3.4285      
2        0.1225       0.1163       3.5848       3.3934      
3        0.1246       0.1218       3.5636       3.3686      
4        0.1267       0.1237       3.5525       3.3497      
5        0.1283       0.1248       3.5448       3.3444      
6        0.1270       0.1235       3.5384       3.3351      
7        0.1278       0.1227       3.5345       3.3279      
8        0.1319       0.1270       3.5361       3.3277      
9        0.1302       0.1276       3.5378       3.3253      
10       0.1281       0.1224       3.5307       3.3259      
11       0.1300       0.1257       3.5287       3.3171      
12       0.1344       0.1291       3.5286       3.3159      
13       0.1308       0.1258       3.5265       3.3193      
14       0.1306       0.1260       3.5270       3.3172      
15       0.1334       0.1274       3.5267       3.3139      
16       0.1278       0.1223       3.5268       3.3208      
17       0.1339       0.1288       3.5244       3.3173      
18       0.1285       0.1228       3.5227       3.3160      
