Historique d'entraînement - MLP_512_256_Dropout_Gridsearch_Tanh
============================================================
Date: 2026-01-08 13:03:02
Optimizer: Adam
Learning Rate: 0.005
Meilleure époque: 19
Époques complétées: 20
Meilleure accuracy dev: 0.2030 (20.30%)
Meilleure loss dev: 2.8648
Temps total d'entraînement: 705.57 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1424       0.1389       3.5838       3.2860      
2        0.1569       0.1528       3.4323       3.1929      
3        0.1693       0.1639       3.3842       3.1407      
4        0.1733       0.1718       3.3472       3.0931      
5        0.1793       0.1693       3.3224       3.0719      
6        0.1848       0.1765       3.2961       3.0420      
7        0.1912       0.1810       3.2755       3.0041      
8        0.1915       0.1821       3.2573       2.9932      
9        0.1912       0.1818       3.2442       2.9764      
10       0.1997       0.1894       3.2313       2.9594      
11       0.1992       0.1892       3.2247       2.9425      
12       0.2028       0.1939       3.2176       2.9354      
13       0.2050       0.1935       3.2068       2.9275      
14       0.2051       0.1950       3.1966       2.9087      
15       0.2072       0.1972       3.1909       2.9047      
16       0.2109       0.1977       3.1855       2.8936      
17       0.2128       0.2011       3.1772       2.8870      
18       0.2076       0.1989       3.1711       2.8878      
19       0.2147       0.2030       3.1643       2.8648      
20       0.2145       0.2017       3.1596       2.8803      
