Historique d'entraînement - MLP_512_256_Dropout_Relu_Post_Optimisation
============================================================
Date: 2026-01-08 21:42:24
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 20
Époques complétées: 20
Meilleure accuracy dev: 0.1897 (18.97%)
Meilleure loss dev: 3.9954
Temps total d'entraînement: 767.93 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1254       0.1163       4.0879       4.0686      
2        0.1400       0.1317       4.0580       4.0531      
3        0.1517       0.1387       4.0465       4.0456      
4        0.1627       0.1488       4.0370       4.0365      
5        0.1720       0.1565       4.0282       4.0292      
6        0.1791       0.1593       4.0213       4.0256      
7        0.1829       0.1628       4.0164       4.0220      
8        0.1877       0.1680       4.0127       4.0175      
9        0.1922       0.1707       4.0081       4.0149      
10       0.1966       0.1724       4.0044       4.0122      
11       0.1990       0.1760       4.0015       4.0097      
12       0.2028       0.1757       3.9996       4.0090      
13       0.2036       0.1776       3.9969       4.0071      
14       0.2079       0.1809       3.9952       4.0040      
15       0.2083       0.1823       3.9928       4.0033      
16       0.2110       0.1836       3.9915       4.0011      
17       0.2154       0.1866       3.9901       3.9986      
18       0.2161       0.1881       3.9885       3.9974      
19       0.2171       0.1872       3.9870       3.9976      
20       0.2211       0.1897       3.9850       3.9954      
