Historique d'entraînement - MLP_512_256_Dropout_Relu_Post_Optimisation_DataAugmentation_20epochs_Generation_Data
============================================================
Date: 2026-01-10 02:36:26
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 20
Époques complétées: 20
Meilleure accuracy dev: 0.4341 (43.41%)
Meilleure loss dev: 1.6022
Temps total d'entraînement: 3119.74 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.2898       0.2964       2.8987       2.3161      
2        0.3371       0.3454       2.5545       2.0629      
3        0.3573       0.3669       2.4623       1.9499      
4        0.3727       0.3828       2.3699       1.8649      
5        0.3811       0.3919       2.3114       1.8125      
6        0.3872       0.3981       2.2556       1.7714      
7        0.3923       0.4041       2.2177       1.7422      
8        0.3956       0.4077       2.1839       1.7213      
9        0.4004       0.4124       2.1602       1.6957      
10       0.4022       0.4143       2.1387       1.6818      
11       0.4050       0.4179       2.1237       1.6686      
12       0.4065       0.4196       2.1061       1.6581      
13       0.4090       0.4227       2.0943       1.6459      
14       0.4118       0.4253       2.0851       1.6375      
15       0.4125       0.4256       2.0744       1.6272      
16       0.4138       0.4273       2.0679       1.6214      
17       0.4169       0.4306       2.0585       1.6157      
18       0.4180       0.4314       2.0553       1.6125      
19       0.4191       0.4333       2.0478       1.6053      
20       0.4206       0.4341       2.0441       1.6022      
