Historique d'entraînement - MLP_512_256_Dropout_Relu_Post_Optimisation_DataAugmentation_50epochs
============================================================
Date: 2026-01-09 01:41:21
Optimizer: Adam
Learning Rate: 0.001
Meilleure époque: 48
Époques complétées: 50
Meilleure accuracy dev: 0.4638 (46.38%)
Meilleure loss dev: 1.4606
Temps total d'entraînement: 4120.49 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.3076       0.2999       2.8306       2.2879      
2        0.3800       0.3742       2.2191       1.8822      
3        0.3992       0.3936       2.0201       1.7776      
4        0.4118       0.4052       1.9417       1.7244      
5        0.4201       0.4145       1.8931       1.6860      
6        0.4254       0.4197       1.8575       1.6612      
7        0.4311       0.4246       1.8285       1.6367      
8        0.4368       0.4296       1.8044       1.6172      
9        0.4398       0.4320       1.7850       1.6017      
10       0.4418       0.4336       1.7682       1.5912      
11       0.4444       0.4358       1.7516       1.5809      
12       0.4467       0.4375       1.7383       1.5711      
13       0.4506       0.4415       1.7271       1.5601      
14       0.4521       0.4426       1.7163       1.5516      
15       0.4543       0.4446       1.7063       1.5448      
16       0.4543       0.4441       1.6978       1.5388      
17       0.4567       0.4466       1.6900       1.5304      
18       0.4574       0.4478       1.6816       1.5277      
19       0.4582       0.4484       1.6762       1.5253      
20       0.4598       0.4502       1.6689       1.5155      
21       0.4622       0.4499       1.6644       1.5153      
22       0.4626       0.4510       1.6594       1.5114      
23       0.4635       0.4526       1.6550       1.5066      
24       0.4641       0.4525       1.6501       1.5045      
25       0.4648       0.4544       1.6450       1.5010      
26       0.4656       0.4543       1.6433       1.5000      
27       0.4656       0.4539       1.6381       1.4984      
28       0.4674       0.4553       1.6343       1.4940      
29       0.4679       0.4571       1.6301       1.4918      
30       0.4679       0.4568       1.6280       1.4882      
31       0.4676       0.4565       1.6258       1.4894      
32       0.4684       0.4568       1.6221       1.4877      
33       0.4683       0.4579       1.6191       1.4833      
34       0.4710       0.4599       1.6172       1.4811      
35       0.4712       0.4599       1.6147       1.4787      
36       0.4715       0.4605       1.6121       1.4770      
37       0.4708       0.4610       1.6095       1.4776      
38       0.4707       0.4607       1.6080       1.4763      
39       0.4712       0.4596       1.6050       1.4731      
40       0.4697       0.4584       1.6036       1.4761      
41       0.4743       0.4624       1.6017       1.4685      
42       0.4719       0.4606       1.6009       1.4716      
43       0.4725       0.4607       1.5989       1.4690      
44       0.4733       0.4623       1.5965       1.4671      
45       0.4730       0.4621       1.5957       1.4680      
46       0.4738       0.4624       1.5937       1.4648      
47       0.4745       0.4633       1.5921       1.4638      
48       0.4744       0.4638       1.5913       1.4606      
49       0.4750       0.4631       1.5894       1.4625      
50       0.4734       0.4617       1.5870       1.4642      
