Historique d'entraînement - MLP_64_Dropout_Gridsearch_Relu
============================================================
Date: 2026-01-08 18:13:55
Optimizer: Adam
Learning Rate: 0.01
Meilleure époque: 16
Époques complétées: 20
Meilleure accuracy dev: 0.2102 (21.02%)
Meilleure loss dev: 2.7770
Temps total d'entraînement: 335.66 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1546       0.1526       3.4006       3.1226      
2        0.1854       0.1777       3.1854       2.9809      
3        0.1974       0.1895       3.1105       2.8996      
4        0.1980       0.1945       3.0750       2.8694      
5        0.2008       0.1946       3.0532       2.8451      
6        0.2060       0.1985       3.0344       2.8302      
7        0.2109       0.2052       3.0266       2.8051      
8        0.2129       0.2059       3.0161       2.7971      
9        0.2150       0.2078       3.0081       2.7883      
10       0.2134       0.2021       3.0068       2.7913      
11       0.2149       0.2086       3.0062       2.7839      
12       0.2137       0.2078       3.0020       2.7823      
13       0.2135       0.2077       3.0024       2.7811      
14       0.2144       0.2076       2.9988       2.7803      
15       0.2141       0.2071       2.9975       2.7735      
16       0.2164       0.2102       2.9982       2.7770      
17       0.2144       0.2092       2.9981       2.7742      
18       0.2144       0.2063       2.9970       2.7766      
19       0.2117       0.2046       2.9968       2.7751      
20       0.2139       0.2086       2.9966       2.7777      
