Historique d'entraînement - MLP_64_Dropout_Gridsearch_Tanh
============================================================
Date: 2026-01-08 08:06:02
Optimizer: Adam
Learning Rate: 0.005
Meilleure époque: 19
Époques complétées: 20
Meilleure accuracy dev: 0.2242 (22.42%)
Meilleure loss dev: 2.8018
Temps total d'entraînement: 528.29 sec

============================================================
Historique par époque:
Epoch    Train Acc    Dev Acc      Train Loss   Dev Loss    
------------------------------------------------------------
1        0.1303       0.1307       3.5980       3.3216      
2        0.1550       0.1532       3.3383       3.1565      
3        0.1747       0.1713       3.2475       3.0727      
4        0.1865       0.1832       3.1912       3.0166      
5        0.1944       0.1901       3.1511       2.9750      
6        0.2022       0.1967       3.1195       2.9408      
7        0.2092       0.2020       3.0936       2.9072      
8        0.2129       0.2041       3.0688       2.8826      
9        0.2126       0.2028       3.0514       2.8646      
10       0.2179       0.2088       3.0420       2.8527      
11       0.2194       0.2088       3.0316       2.8438      
12       0.2220       0.2120       3.0222       2.8357      
13       0.2206       0.2123       3.0185       2.8307      
14       0.2249       0.2146       3.0151       2.8265      
15       0.2264       0.2170       3.0092       2.8224      
16       0.2274       0.2175       3.0074       2.8157      
17       0.2305       0.2213       2.9993       2.8089      
18       0.2300       0.2189       2.9959       2.8048      
19       0.2319       0.2242       2.9964       2.8018      
20       0.2331       0.2229       2.9946       2.7959      
