epoch,train_accuracy,dev_accuracy,train_loss,dev_loss
1,0.17389324001555295,0.16333333333333333,3.3222989256692395,3.0137388785680135
2,0.22086874409820587,0.2055,2.944409415332234,2.8168286323547362
3,0.24869188468588568,0.2292,2.8007488085622603,2.7036335309346518
4,0.2655835138588013,0.2454,2.707458725266179,2.6323123733202616
5,0.2767816475031939,0.2541,2.643777777283476,2.576544789473216
6,0.2878797978114759,0.26376666666666665,2.5868048218809006,2.531275967756907
7,0.29320113314447593,0.2667,2.5450506368832575,2.501906915505727
8,0.3018108093095595,0.2722,2.51434381945972,2.476989765961965
9,0.30710437149363995,0.27886666666666665,2.4828631980267257,2.45751584370931
10,0.314275398544687,0.28313333333333335,2.460676752299153,2.4347695151964825
11,0.3166361162028551,0.28336666666666666,2.442521584991603,2.419405698776245
12,0.32187413208909627,0.2896666666666667,2.4228344914655606,2.4047815362612406
13,0.32524023773815475,0.29006666666666664,2.407730252128559,2.3999764204025267
14,0.32705660167749817,0.29246666666666665,2.392827243355833,2.3912635723749798
15,0.32977281564183747,0.291,2.381820088608443,2.3858214974403382
16,0.3333722157418208,0.29623333333333335,2.371339647723697,2.3806944688161216
17,0.3341943009498417,0.2947,2.363618151633033,2.375248618920644
18,0.33679942231850246,0.2956666666666667,2.351600030122371,2.373616619904836
19,0.3360717658168083,0.29823333333333335,2.346928938604128,2.367578919728597
20,0.33684385935677386,0.29423333333333335,2.3404848707679897,2.36923881371816
