epoch,train_accuracy,dev_accuracy,train_loss,dev_loss
1,0.18415264122646224,0.1781,3.2926038322026048,2.9847549915313722
2,0.2314725323557185,0.21526666666666666,2.920192997871674,2.7987011512120565
3,0.2664833638837971,0.24663333333333334,2.7564279848188575,2.650524397691091
4,0.2981447536521691,0.2729666666666667,2.62444412212953,2.525771164894104
5,0.31930789312892294,0.293,2.531821137650191,2.4454062660535176
6,0.3329389546186747,0.3012,2.4682652577138673,2.3932154099146525
7,0.34383713825473533,0.31096666666666667,2.419272110732969,2.355519731839498
8,0.3537077153807699,0.3154666666666667,2.383043591995979,2.3267286737759907
9,0.360651002610676,0.321,2.3536514535835247,2.3014390587806703
10,0.3676665000277731,0.3278,2.3273535365873426,2.2833262999852497
11,0.37161584180414375,0.32766666666666666,2.301666637867111,2.2709455053011576
12,0.3780536577237127,0.3329,2.286589350726796,2.2600435336430866
13,0.3817030494917514,0.33666666666666667,2.2707566746053933,2.2482906778653464
14,0.3842915069710604,0.3360666666666667,2.258158513383522,2.2415881752967834
15,0.3872854524245959,0.33876666666666666,2.246506674468022,2.235966960589091
16,0.3903571626951064,0.3364666666666667,2.2388366256063996,2.2311086654663086
17,0.3932233516636116,0.34203333333333336,2.226431190142011,2.2260524948438007
18,0.39666722212964506,0.3425666666666667,2.2154310406740354,2.220415536562602
19,0.3982780647669833,0.3426666666666667,2.2077224162146654,2.2179675738016766
20,0.40036105093595514,0.3435,2.2017596134518653,2.2157087445259096
