epoch,train_accuracy,dev_accuracy,train_loss,dev_loss
1,0.11993001166472254,0.1187,3.8261178880188598,3.476363865872647
2,0.15198578014775316,0.14913333333333334,3.6425897051615332,3.2862817104826583
3,0.17038826862189635,0.16903333333333334,3.559968103986305,3.181910250034738
4,0.17779259012386825,0.17523333333333332,3.5099150668498718,3.1171593209530446
5,0.18968505249125145,0.18593333333333334,3.4717537638305687,3.0531087205765095
6,0.19443426095650726,0.19126666666666667,3.435750701873118,3.022683747271274
7,0.20355496306171195,0.1985,3.4074283417184557,2.9654106383628034
8,0.20622118535799588,0.20233333333333334,3.3819011784481003,2.9263701631667765
9,0.21836916069543966,0.21133333333333335,3.3608353515847322,2.8889610412273
10,0.21830805976781648,0.21256666666666665,3.346358366358255,2.877675095010311
11,0.22205188024218186,0.2163,3.337209678492651,2.8691877253512117
12,0.22317947008831862,0.2147,3.3311329425101426,2.853230066502348
13,0.22082986168971838,0.21486666666666668,3.3266323632861843,2.8519211900995134
14,0.22464033772149086,0.2162,3.3124637456336763,2.8307637387133657
15,0.2337943676053991,0.22663333333333333,3.309359805162019,2.8200230740486307
16,0.23081708604121534,0.22366666666666668,3.30320315167848,2.8165399135427274
17,0.22981169805032495,0.22183333333333333,3.2966906704119783,2.8246156134503955
18,0.2377881464200411,0.22716666666666666,3.2932915086007406,2.8112865082761074
19,0.23924345942342942,0.22626666666666667,3.2901537972472625,2.779378011378836
20,0.237427095484086,0.22873333333333334,3.284263582371954,2.7946944338210087
